# test subtest run checkout repeat value unit host
iperf3_-c10.3.45.35_-w1m_-P10_-t10 receiver 1737911280 1737849600 000 3910000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-P10_-t10 receiver 1737911280 1737849600 001 3920000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-P10_-t10 receiver 1737911280 1737849600 002 3910000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-P10_-t10 receiver 1737911280 1737849600 003 3910000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-P10_-t10 receiver 1737911280 1737849600 004 3840000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-P10_-t10 receiver 1737911280 1737849601 000 8780000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-P10_-t10 receiver 1737911280 1737849601 001 8640000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-P10_-t10 receiver 1737911280 1737849601 002 8950000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-P10_-t10 receiver 1737911280 1737849601 003 6110000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-P10_-t10 receiver 1737911280 1737849601 004 8900000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-P10_-t10 receiver 1737911280 1737849602 000 3660000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-P10_-t10 receiver 1737911280 1737849602 001 3620000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-P10_-t10 receiver 1737911280 1737849602 002 3740000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-P10_-t10 receiver 1737911280 1737849602 003 3680000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-P10_-t10 receiver 1737911280 1737849602 004 3730000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-P10_-t10 receiver 1737911280 1737849603 000 6910000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-P10_-t10 receiver 1737911280 1737849603 001 7480000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-P10_-t10 receiver 1737911280 1737849603 002 7550000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-P10_-t10 receiver 1737911280 1737849603 003 8140000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-P10_-t10 receiver 1737911280 1737849603 004 7630000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-P10_-t10_-R receiver 1737911280 1737849600 000 3910000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-P10_-t10_-R receiver 1737911280 1737849600 001 3970000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-P10_-t10_-R receiver 1737911280 1737849600 002 3930000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-P10_-t10_-R receiver 1737911280 1737849600 003 3750000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-P10_-t10_-R receiver 1737911280 1737849600 004 3770000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-P10_-t10_-R receiver 1737911280 1737849601 000 7840000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-P10_-t10_-R receiver 1737911280 1737849601 001 8280000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-P10_-t10_-R receiver 1737911280 1737849601 002 8970000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-P10_-t10_-R receiver 1737911280 1737849601 003 8190000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-P10_-t10_-R receiver 1737911280 1737849601 004 6810000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-P10_-t10_-R receiver 1737911280 1737849602 000 3780000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-P10_-t10_-R receiver 1737911280 1737849602 001 3790000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-P10_-t10_-R receiver 1737911280 1737849602 002 3780000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-P10_-t10_-R receiver 1737911280 1737849602 003 3670000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-P10_-t10_-R receiver 1737911280 1737849602 004 3700000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-P10_-t10_-R receiver 1737911280 1737849603 000 8100000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-P10_-t10_-R receiver 1737911280 1737849603 001 7820000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-P10_-t10_-R receiver 1737911280 1737849603 002 7610000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-P10_-t10_-R receiver 1737911280 1737849603 003 7720000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-P10_-t10_-R receiver 1737911280 1737849603 004 8100000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1737911280 1737849600 000 3230000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1737911280 1737849600 001 3250000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1737911280 1737849600 002 3250000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1737911280 1737849600 003 3660000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1737911280 1737849600 004 3240000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1737911280 1737849601 000 3790000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1737911280 1737849601 001 3870000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1737911280 1737849601 002 3740000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1737911280 1737849601 003 3700000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1737911280 1737849601 004 3740000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1737911280 1737849602 000 3140000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1737911280 1737849602 001 3120000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1737911280 1737849602 002 3140000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1737911280 1737849602 003 3140000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1737911280 1737849602 004 3120000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1737911280 1737849603 000 2700000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1737911280 1737849603 001 2600000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1737911280 1737849603 002 2860000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1737911280 1737849603 003 2690000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1737911280 1737849603 004 2750000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1737911280 1737849600 000 3230000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1737911280 1737849600 001 3660000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1737911280 1737849600 002 3240000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1737911280 1737849600 003 3230000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1737911280 1737849600 004 3280000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1737911280 1737849601 000 3650000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1737911280 1737849601 001 3680000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1737911280 1737849601 002 3670000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1737911280 1737849601 003 3760000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1737911280 1737849601 004 3840000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1737911280 1737849602 000 3150000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1737911280 1737849602 001 3100000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1737911280 1737849602 002 3120000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1737911280 1737849602 003 3130000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1737911280 1737849602 004 3160000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1737911280 1737849603 000 2880000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1737911280 1737849603 001 2660000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1737911280 1737849603 002 2650000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1737911280 1737849603 003 2790000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1737911280 1737849603 004 2680000000 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1737911280 1737849600 000 3491315500 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1737911280 1737849600 001 3499687125 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1737911280 1737849600 002 3461455500 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1737911280 1737849600 003 3473019875 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1737911280 1737849600 004 3533370125 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1737911280 1737849601 000 9179046000 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1737911280 1737849601 001 8949165666 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1737911280 1737849601 002 8971584000 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1737911280 1737849601 003 9179033000 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1737911280 1737849601 004 9787720000 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1737911280 1737849602 000 3317444625 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1737911280 1737849602 001 3362517875 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1737911280 1737849602 002 3364968250 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1737911280 1737849602 003 3382537000 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1737911280 1737849602 004 3255351875 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1737911280 1737849603 000 8384373125 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1737911280 1737849603 001 8278540250 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1737911280 1737849603 002 8351475750 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1737911280 1737849603 003 8468380333 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1737911280 1737849603 004 8394131666 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1737911280 1737849600 000 3181053250 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1737911280 1737849600 001 3535268500 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1737911280 1737849600 002 3168742500 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1737911280 1737849600 003 3410162250 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1737911280 1737849600 004 3195595500 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1737911280 1737849601 000 3714061000 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1737911280 1737849601 001 3747510375 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1737911280 1737849601 002 3593164375 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1737911280 1737849601 003 3497758250 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1737911280 1737849601 004 3657610000 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1737911280 1737849602 000 3071671625 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1737911280 1737849602 001 3059083500 bits/sec ot14
